flow,bucket,principal,beneficiary,gate,change-authority,source
productive_streaming.v1,founder_royalty,operational-treasury::founder-vault,Founder royalty vault,GATE_MAINNET_BASELINE,"Frozen mechanics per bucket-set version; SAB executes before DAO quorum; policy mutation requires DAO_TIMELOCK once GATE_DAO_POLICY_QUORUM is true","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.1|§6.1|§6.2; docs/BOS_WALLET_CONTROL_MODEL.md §Governance boundary"
productive_streaming.v1,founder_delta_to_labs,operational-treasury::conxian-labs-wallet,Labs treasury key (founder-decay delta),GATE_MAINNET_BASELINE,"Frozen mechanics per bucket-set version; no ad hoc upward founder changes on active versions","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.1|§1.1.3"
productive_streaming.v1,ecosystem_reserve,operational-treasury::ecosystem-reserve-vault,Protocol reserve,GATE_MAINNET_BASELINE,"SAB execution pre-quorum; DAO timelock policy control post-quorum","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.1|§3.2|§6.2; docs/BOS_WALLET_CONTROL_MODEL.md §Governance boundary"
productive_streaming.v1,productive_yield,flow_recipient,Flow-bound worker/beneficiary or LP incentive route,GATE_MAINNET_BASELINE,"Recipient is flow payload input; policy changes follow governance boundary","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.1|§2.3"
productive_streaming.v2,founder_royalty,operational-treasury::founder-vault,Founder royalty vault (v2 schedule),"GATE_MAINNET_BASELINE + explicit selection of productive_streaming.v2","Frozen mechanics per version; upward founder-rate changes require new version + DAO quorum/timelock","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.2|§1.1.3|§6.1"
productive_streaming.v2,founder_decay_to_protocol,operational-treasury::ecosystem-reserve-vault,Protocol reserve from founder-decay delta (10%→5%),"GATE_MAINNET_BASELINE + explicit selection of productive_streaming.v2","Same versioned-mechanics governance rule as productive_streaming.v2 family","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.2"
productive_streaming.v2,founder_delta_to_labs,operational-treasury::conxian-labs-wallet,Labs treasury key from founder-decay delta below 5%,"GATE_MAINNET_BASELINE + explicit selection of productive_streaming.v2","Same versioned-mechanics governance rule as productive_streaming.v2 family","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.2|§1.1.3"
productive_streaming.v2,ecosystem_reserve_base,operational-treasury::ecosystem-reserve-vault,Protocol reserve base allocation,"GATE_MAINNET_BASELINE + explicit selection of productive_streaming.v2","SAB executes active policy; DAO mutates policy surfaces via timelock post-handoff","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.2|§6.2"
productive_streaming.v2,productive_yield,flow_recipient,Flow-bound worker/beneficiary or LP incentive route,"GATE_MAINNET_BASELINE + explicit selection of productive_streaming.v2","Recipient binding is payload-defined; governance controls policy changes only","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.1.2|§2.3"
captured_protocol_fees.v1.stage_a,referrer_reward,referrer_principal,Referrer,"GATE_PAYOUT_READY_ALEX + referral engine readiness","Gate controls execution readiness; policy and authority follow SAB/DAO governance boundary","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§3.1|§3.2; openspec/changes/csf-autonomous-launch/specs/launch-mechanics/spec.md §5-5-5 Referral Engine"
